sample	tp53_mutation_status
CPCT02010469T	0
CPCT02010471T	0
CPCT02010473T	0
CPCT02010474T	0
CPCT02010477T	0
CPCT02010478T	0
CPCT02010478TII	0
CPCT02010481T	0
CPCT02010483T	0
CPCT02010484T	0
CPCT02010485T	0
CPCT02010486T	0
CPCT02010488T	0
CPCT02010490T	0
CPCT02010492T	0
CPCT02010493T	0
CPCT02010494T	0
CPCT02010497T	0
CPCT02010498T	0
CPCT02010500T	0
CPCT02010501T	0
CPCT02010503T	0
CPCT02010503TII	0
CPCT02010504T	0
CPCT02010505T	0
CPCT02010506T	0
CPCT02010507T	0
CPCT02010508T	0
CPCT02010509T	0
CPCT02010512T	0
CPCT02010514T	0
CPCT02010517T	0
CPCT02010518T	0
CPCT02010520T	0
CPCT02010521T	0
CPCT02010523T	0
CPCT02010524T	0
CPCT02010526T	0
CPCT02010528T	0
CPCT02010529T	0
CPCT02010530T	0
CPCT02010531T	0
CPCT02010532T	0
CPCT02010533T	0
CPCT02010534T	0
CPCT02010535T	0
CPCT02010536T	0
CPCT02010537T	0
CPCT02010538T	0
CPCT02010541T	0
CPCT02010543T	0
CPCT02010545T	0
CPCT02010547T	0
CPCT02010548T	0
CPCT02010549T	0
CPCT02010550T	0
CPCT02010554T	0
CPCT02010555T	0
CPCT02010557T	0
CPCT02010559T	0
CPCT02010560T	0
CPCT02010565T	0
CPCT02010567T	0
CPCT02010567TII	0
CPCT02010569T	0
CPCT02010571T	0
CPCT02010572T	0
CPCT02010574T	0
CPCT02010576T	0
CPCT02010577T	0
CPCT02010579T	0
CPCT02010585T	0
CPCT02010587T	0
CPCT02010589T	0
CPCT02010590T	0
CPCT02010591T	0
CPCT02010593T	0
CPCT02010595T	0
CPCT02010596T	0
CPCT02010598T	0
CPCT02010599T	0
CPCT02010600T	0
CPCT02010603T	0
CPCT02010604T	0
CPCT02010605T	0
CPCT02010606T	0
CPCT02010607T	0
CPCT02010608T	0
CPCT02010609T	0
CPCT02010611T	0
CPCT02010612T	0
CPCT02010613T	0
CPCT02010614T	0
CPCT02010618T	0
CPCT02010621T	0
CPCT02010622T	0
CPCT02010623T	0
CPCT02010624T	0
CPCT02010625T	0
CPCT02010628T	0
CPCT02010629T	0
CPCT02010632T	0
CPCT02010633T	0
CPCT02010635T	0
CPCT02010639T	0
CPCT02010641TII	0
CPCT02010643T	0
CPCT02010645T	0
CPCT02010646T	0
CPCT02010647T	0
CPCT02010648T	0
CPCT02010649T	0
CPCT02010653T	0
CPCT02010654T	0
CPCT02010655T	0
CPCT02010656T	0
CPCT02010658T	0
CPCT02010660T	0
CPCT02010661T	0
CPCT02010662T	0
CPCT02010663T	0
CPCT02010665T	0
CPCT02010666T	0
CPCT02010667T	0
CPCT02010670T	0
CPCT02010674T	0
CPCT02010676T	0
CPCT02010678T	0
CPCT02010679T	0
CPCT02010680T	0
CPCT02010682T	0
CPCT02010683T	0
CPCT02010687T	0
CPCT02010688T	0
CPCT02010690T	0
CPCT02010691T	0
CPCT02010692T	0
CPCT02010692TII	0
CPCT02010694T	0
CPCT02010695T	0
CPCT02010697T	0
CPCT02010698T	0
CPCT02010699T	0
CPCT02010700T	0
CPCT02010702T	0
CPCT02010704T	0
CPCT02010705T	0
CPCT02010706T	0
CPCT02010708T	0
CPCT02010710T	0
CPCT02010711T	0
CPCT02010712T	0
CPCT02010715T	0
CPCT02010716T	0
CPCT02010718T	0
CPCT02010720T	0
CPCT02010721T	0
CPCT02010722T	0
CPCT02010722TII	0
CPCT02010726T	0
CPCT02010727T	0
CPCT02010728T	0
CPCT02010730T	0
CPCT02010731T	0
CPCT02010732T	0
CPCT02010735T	0
CPCT02010738T	0
CPCT02010739T	0
CPCT02010741T	0
CPCT02010742T	0
CPCT02010743T	0
CPCT02010746T	0
CPCT02010747T	0
CPCT02010750T	0
CPCT02010750TII	0
CPCT02010751T	0
CPCT02010752T	0
CPCT02010753T	0
CPCT02010754T	0
CPCT02010754TII	0
CPCT02010756T	0
CPCT02010757T	0
CPCT02010758T	0
CPCT02010760T	0
CPCT02010762T	0
CPCT02010765T	0
CPCT02010768T	0
CPCT02010769T	0
CPCT02010772T	0
CPCT02010773T	0
CPCT02010774T	0
CPCT02010776T	0
CPCT02010776TII	0
CPCT02010779T	0
CPCT02010780T	0
CPCT02010781T	0
CPCT02010782T	0
CPCT02010786T	0
CPCT02010790T	0
CPCT02010791T	0
CPCT02010794T	0
CPCT02010797T	0
CPCT02010801T	0
CPCT02010802T	0
CPCT02010807T	0
CPCT02010810T	0
CPCT02010811T	0
CPCT02010813T	0
CPCT02010815T	0
CPCT02010824T	0
CPCT02010825T	0
CPCT02010828T	0
CPCT02010831T	0
CPCT02010833T	0
CPCT02010835T	0
CPCT02010836T	0
CPCT02010838T	0
CPCT02010839T	0
CPCT02010840T	0
CPCT02010841T	0
CPCT02010842T	0
CPCT02010843T	0
CPCT02010846T	0
CPCT02010847T	0
CPCT02010849T	0
CPCT02010851T	0
CPCT02010852T	0
CPCT02010853T	0
CPCT02010856T	0
CPCT02010857T	0
CPCT02010858T	0
CPCT02010860T	0
CPCT02010863T	0
CPCT02010865T	0
CPCT02010866T	0
CPCT02010866TII	0
CPCT02010867T	0
CPCT02010870T	0
CPCT02010872T	0
CPCT02010873T	0
CPCT02010874T	0
CPCT02010875T	0
CPCT02010877T	0
CPCT02010878T	0
CPCT02010878TII	0
CPCT02010880T	0
CPCT02010881T	0
CPCT02010882T	0
CPCT02010884T	0
CPCT02010885T	0
CPCT02010886T	0
CPCT02010889T	0
CPCT02010890T	0
CPCT02010891T	0
CPCT02010894T	0
CPCT02010894TII	0
CPCT02010895T	0
CPCT02010896T	0
CPCT02010897T	0
CPCT02010898T	0
CPCT02010900T	0
CPCT02010901T	0
CPCT02010902T	0
CPCT02010903T	0
CPCT02010904T	0
CPCT02010907T	0
CPCT02010911T	0
CPCT02010913T	0
CPCT02010914T	0
CPCT02010915T	0
CPCT02010918T	0
CPCT02010919T	0
CPCT02010920T	0
CPCT02010924T	0
CPCT02010925T	0
CPCT02010926T	0
CPCT02010927T	0
CPCT02010931T	0
CPCT02010933T	0
CPCT02010934T	0
CPCT02010935T	0
CPCT02010936T	0
CPCT02010938T	0
CPCT02010939T	0
CPCT02010940T	0
CPCT02010941T	0
CPCT02010942TII	0
CPCT02010944T	0
CPCT02010944TIII	0
CPCT02010945T	0
CPCT02010947T	0
CPCT02010953T	0
CPCT02010954T	0
CPCT02010955T	0
